ekis_id;0;1;2;3;4;5;6;7;8;9
12985;13858;13714;13808;13017;13728;13936;13793;10325;13246;12830
13591;13641;13636;7530;12950;3880;3856;13529;13291;7476;12997
13265;13859;13121;13017;12830;566;11948;9431;13747;13713;12855
13741;13701;12768;13865;12910;13728;12788;13765;12871;566;12993
13273;13896;13179;13906;13861;13909;13381;13833;13932;13791;13246
13743;13697;13409;13294;13288;13742;13719;12654;13840;13752;13772
13203;13649;137;12264;12570;12584;8842;13271;13409;13190;12848
12627;13062;13838;12654;13750;12756;13752;12729;13288;13166;13697
13291;13765;3755;13017;13120;13733;13310;13852;13583;3798;13641
13436;13314;13713;11209;12766;9615;13439;13260;12927;13120;12855
13908;13721;13673;13949;13836;13492;13104;13853;13667;13265;12993
13231;13848;13714;13017;13728;10325;12993;9615;13361;12881;13765
444;13199;13663;13883;12938;13120;13806;13104;13444;12766;13848
13481;13439;12809;12943;13260;11209;13020;12844;13718;13393;13314
13955;13553;12462;13884;13957;12970;11748;12664;13924;13073;13926
12915;13409;13654;12619;12654;13687;13261;12584;13288;13719;13697
12905;13024;12805;13438;12188;12138;12195;13481;13718;12281;12844
12881;13057;13806;13120;13714;13630;13728;13439;9615;12927;13715
12916;13361;13728;13439;13104;13714;12926;13057;12779;13765;12855
13434;13491;13190;13182;7509;13013;13552;3798;13220;13637;13521
13703;12961;12940;13828;12731;12746;12717;12850;12681;13560;12686
13686;13765;10313;13426;13661;13806;10325;12993;13688;13859;13104
12215;12821;10325;13086;13836;12919;11209;13181;13949;13810;13382
13925;13221;13906;10313;13380;13737;10327;13673;13738;13246;13204
12961;13560;12681;13447;12940;13828;12731;12686;12678;12746;13703
13857;13677;13724;13704;13420;13770;13899;13798;13705;13781;13729
13174;13470;13092;3810;12774;13939;13955;13926;3877;13596;13073
12889;13824;13361;13707;12768;13736;9291;13841;13746;12020;9539
12992;13876;13731;13655;13806;13791;13818;13087;13381;13710;13246
13332;12938;13859;13121;12766;13104;13757;12216;12855;13663;13017
13904;13906;13246;13381;13426;13861;13872;13932;13940;13830;13655
13565;13552;3815;12951;13013;3799;13190;12339;13685;13434;13637
12519;11948;13747;13715;13120;13883;13148;12851;13891;13310;13712
13285;13949;13630;13367;13806;13057;13757;13663;12207;10325;12215
13935;13221;13919;12992;13207;13731;13791;13909;13788;13806;13737
